detail_code,detail_name,a_cluster,a_name,b_cluster,b_name,c_cluster,c_name,d_cluster,d_name,class_flag,version,v_index
(null),(null),58.02,尿道肉阜电切术,58,尿道切开术,58,尿道手术,55-59,泌尿系统手术,手术,上海版_获取自数据库,v11
(null),(null),61.31,阴囊病损切除术,61.3,阴囊病损或阴囊组织切除术或破坏术,61,阴囊和睾丸鞘膜手术,60-64,男性生殖器官手术,手术,上海版_获取自数据库,v12
(null),(null),43.62,胃癌根治术BI式R2,43.6,胃部分切除术伴胃十二指肠吻合术,43,胃切开术和切除术,42-54,消化系统手术,手术,上海版_获取自数据库,v10
(null),(null),71.08,会阴肿块切除,71,外阴和会阴切开术,71,外阴和会阴的手术,65-71,女性生殖器官手术,手术,上海版_获取自数据库,v13
(null),(null),18.62,耳廓成形术,18.6,外耳道重建术,18,外耳手术,18-20,耳部手术,手术,上海版_获取自数据库,v05
(null),(null),11.11,角膜切开异物取出术,11.1,角膜切开术,11,角膜手术,8月16日,眼的手术,手术,上海版_获取自数据库,v04
(null),(null),70.38,阴道囊肿剥出,70.3,阴道和直肠子宫陷凹的局部切除术或破坏术,70,阴道和直肠子宫陷凹手术,65-71,女性生殖器官手术,手术,上海版_获取自数据库,v13
(null),(null),61.02,阴囊探查术,61,阴囊和睾丸鞘膜切开引流术,61,阴囊和睾丸鞘膜手术,60-64,男性生殖器官手术,手术,上海版_获取自数据库,v12
(null),(null),51.53,胆总管切开取石术,51.5,胆管的其他切开术,51,胆囊和胆管手术,42-54,消化系统手术,手术,上海版_获取自数据库,v10
0.0102,颈部血管治疗性超声,0.01,头和颈部血管治疗性超声,0,治疗性超声,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.0101,头部血管治疗性超声,0.01,头和颈部血管治疗性超声,0,治疗性超声,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.0201,心脏治疗性超声,0.02,心脏治疗性超声,0,治疗性超声,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.0301,周围血管治疗性超声,0.03,周围血管治疗性超声,0,治疗性超声,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.0904,超声内镜引导下内放疗粒子置入术,0.09,其他治疗性超声,0,治疗性超声,0,操作和介入NEC,0,操作和介入 NEC,操作,上海版,v01
0.0901,高强度聚焦超声治疗,0.09,其他治疗性超声,0,治疗性超声,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.0902,超声内镜引导下细针穿刺活检术,0.09,其他治疗性超声,0,治疗性超声,0,操作和介入NEC,0,操作和介入 NEC,操作,上海版,v01
0.0903,超声内镜引导下腹腔神经节阻滞术,0.09,其他治疗性超声,0,治疗性超声,0,操作和介入NEC,0,操作和介入 NEC,操作,上海版,v01
0.1001,化学治疗物质植入,0.1,化学治疗物质植入,0.1,药物制剂,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.1101,重组蛋白输注,0.11,重组人类活化C蛋白输注,0.1,药物制剂,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.1201,一氧化氮疗法,0.12,吸入一氧化氮管理,0.1,药物制剂,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.1301,人类B型钠尿肽（hBNP）输注,0.13,奈西立肽注射或输注,0.1,药物制剂,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
